bool                                             |logical
int                                              |integer
uint                                             |integer
short                                            |integer
ushort                                           |integer
QDomNamedNodeMap                                 |object   |QtXml
QDomNode                                         |object   |QtXml
QDomNode::EncodingPolicy                         |enum     |QtXml
QDomNode::NodeType                               |enum     |QtXml
QDomNodeList                                     |object   |QtXml
QDomNotation                                     |object   |QtXml
QDomProcessingInstruction                        |object   |QtXml
QDomText                                         |object   |QtXml
QDoubleSpinBox                                   |QObject  |QtGui
QDoubleValidator                                 |QObject  |QtGui
QDoubleValidator::Notation                       |enum     |QtGui
QDrag                                            |QObject  |QtGui
QDragEnterEvent                                  |QEvent   |QtGui
QDragLeaveEvent                                  |QEvent   |QtGui
QDragMoveEvent                                   |QEvent   |QtGui
QDropEvent                                       |QEvent   |QtGui
QDynamicPropertyChangeEvent                      |QEvent   |QtCore
QEasingCurve                                     |object   |QtCore
QEasingCurve::Type                               |enum     |QtCore
QElapsedTimer                                    |object   |QtCore
QElapsedTimer::ClockType                         |enum     |QtCore
QErrorMessage                                    |QObject  |QtGui
QEvent                                           |QEvent   |QtCore
QEvent::Type                                     |enum     |QtCore
QEventLoop                                       |QObject  |QtCore
QEventLoop::ProcessEventsFlags                   |enum     |QtCore
QEventTransition                                 |QObject  |QtCore
QExtensionFactory                                |QObject  |QtDesigner
QExtensionManager                                |QObject  |QtDesigner
QFile                                            |QObject  |QtCore
QFile::FileError                                 |enum     |QtCore
QFile::FileHandleFlags                           |enum     |QtCore
QFile::Permissions                               |enum     |QtCore
QFileDialog                                      |QObject  |QtGui
QFileDialog::AcceptMode                          |enum     |QtGui
QFileDialog::DialogLabel                         |enum     |QtGui
QFileDialog::FileMode                            |enum     |QtGui
QFileDialog::Option                              |enum     |QtGui
QFileDialog::Options                             |enum     |QtGui
QFileDialog::ViewMode                            |enum     |QtGui
QFileIconProvider                                |object   |QtGui
QFileIconProvider::IconType                      |enum     |QtGui
QFileInfo                                        |object   |QtCore
QFileOpenEvent                                   |QEvent   |QtGui
QFileSystemModel                                 |QObject  |QtGui
QFileSystemWatcher                               |QObject  |QtCore
QFinalState                                      |QObject  |QtCore
QFocusEvent                                      |QEvent   |QtGui
QFocusFrame                                      |QObject  |QtGui
QFont                                            |object   |QtGui
QFont::Capitalization                            |enum     |QtGui
QFont::HintingPreference                         |enum     |QtGui
QFont::SpacingType                               |enum     |QtGui
QFont::Stretch                                   |enum     |QtGui
QFont::Style                                     |enum     |QtGui
QFont::StyleHint                                 |enum     |QtGui
QFont::StyleStrategy                             |enum     |QtGui
QFont::Weight                                    |enum     |QtGui
QFontComboBox                                    |QObject  |QtGui
QFontComboBox::FontFilters                       |enum     |QtGui
QFontDatabase                                    |object   |QtGui
QFontDatabase::WritingSystem                     |enum     |QtGui
QFontDialog                                      |QObject  |QtGui
QFontDialog::FontDialogOption                    |enum     |QtGui
QFontDialog::FontDialogOptions                   |enum     |QtGui
QFontEngine                                      |object
QFontEngineInfo                                  |object   |QtGui
QFontEnginePlugin                                |QObject  |QtGui
QFontInfo                                        |object   |QtGui
QFontMetrics                                     |object   |QtGui
QFontMetricsF                                    |object   |QtGui
QFormBuilder                                     |object   |QtDesigner
QFormLayout                                      |QObject  |QtGui
QFormLayout::FieldGrowthPolicy                   |enum     |QtGui
QFormLayout::ItemRole                            |enum     |QtGui
QFormLayout::RowWrapPolicy                       |enum     |QtGui
QFrame                                           |QObject  |QtGui
QFrame::Shadow                                   |enum     |QtGui
QFrame::Shape                                    |enum     |QtGui
QFSFileEngine                                    |object   |QtCore
QFtp                                             |QObject  |QtNetwork
QFtp::Command                                    |enum     |QtNetwork
QFtp::Error                                      |enum     |QtNetwork
QFtp::State                                      |enum     |QtNetwork
QFtp::TransferMode                               |enum     |QtNetwork
QFtp::TransferType                               |enum     |QtNetwork
QFuture                                          |object   |QtCore
QFutureInterfaceBase                             |object   |QtCore
QFutureInterfaceBase::State                      |enum     |QtCore
QFutureWatcher                                   |QObject  |QtCore
QFutureWatcherBase                               |QObject  |QtCore
QGenericPlugin                                   |QObject  |QtGui
QGenericPluginFactory                            |object   |QtGui
QGesture                                         |QObject  |QtGui
QGesture::GestureCancelPolicy                    |enum     |QtGui
QGestureEvent                                    |QEvent   |QtGui
QGestureRecognizer                               |object   |QtGui
QGestureRecognizer::Result                       |enum     |QtGui
QGL::FormatOptions                               |enum     |QtOpenGL
QGLBuffer                                        |object   |QtOpenGL
QGLBuffer::Access                                |enum     |QtOpenGL
QGLBuffer::Type                                  |enum     |QtOpenGL
QGLBuffer::UsagePattern                          |enum     |QtOpenGL
QGLColormap                                      |object   |QtOpenGL
QGLContext                                       |object   |QtOpenGL
QGLContext::BindOptions                          |enum     |QtOpenGL
QGLFormat                                        |object   |QtOpenGL
QGLFormat::OpenGLContextProfile                  |enum     |QtOpenGL
QGLFormat::OpenGLVersionFlags                    |enum     |QtOpenGL
QGLFramebufferObject                             |object   |QtOpenGL
QGLFramebufferObject::Attachment                 |enum     |QtOpenGL
QGLFramebufferObjectFormat                       |object   |QtOpenGL
QGLFunctions                                     |object   |QtOpenGL
QGLFunctions::OpenGLFeature                      |enum     |QtOpenGL
QGLFunctions::OpenGLFeatures                     |enum     |QtOpenGL
QGLPixelBuffer                                   |object   |QtOpenGL
QGLShader                                        |QObject  |QtOpenGL
QGLShader::ShaderType                            |enum     |QtOpenGL
QGLShaderProgram                                 |QObject  |QtOpenGL
QGLWidget                                        |QObject  |QtOpenGL
QGlyphRun                                        |object   |QtGui
QGradient                                        |object   |QtGui
QGradient::CoordinateMode                        |enum     |QtGui
QGradient::Spread                                |enum     |QtGui
QGradient::Type                                  |enum     |QtGui
QGraphicsAnchor                                  |QObject  |QtGui
QGraphicsAnchorLayout                            |object   |QtGui
QGraphicsBlurEffect                              |QObject  |QtGui
QGraphicsBlurEffect::BlurHints                   |enum     |QtGui
QGraphicsColorizeEffect                          |QObject  |QtGui
QGraphicsDropShadowEffect                        |QObject  |QtGui
QGraphicsEffect                                  |QObject  |QtGui
QGraphicsEllipseItem                             |object   |QtGui
QGraphicsGridLayout                              |object   |QtGui
QGraphicsItem                                    |object   |QtGui
QGraphicsItem::CacheMode                         |enum     |QtGui
QGraphicsItem::GraphicsItemFlag                  |enum     |QtGui
QGraphicsItem::GraphicsItemFlags                 |enum     |QtGui
QGraphicsItem::PanelModality                     |enum     |QtGui
QGraphicsItemAnimation                           |QObject  |QtGui
QGraphicsItemGroup                               |object   |QtGui
QGraphicsLayout                                  |object   |QtGui
QGraphicsLayoutItem                              |object   |QtGui
QGraphicsLinearLayout                            |object   |QtGui
QGraphicsLineItem                                |object   |QtGui
QGraphicsObject                                  |QObject  |QtGui
QGraphicsOpacityEffect                           |QObject  |QtGui
QGraphicsPathItem                                |object   |QtGui
QGraphicsPixmapItem                              |object   |QtGui
QGraphicsPixmapItem::ShapeMode                   |enum     |QtGui
QGraphicsPolygonItem                             |object   |QtGui
QGraphicsProxyWidget                             |QObject  |QtGui
QGraphicsRectItem                                |object   |QtGui
QGraphicsRotation                                |QObject  |QtGui
QGraphicsScale                                   |QObject  |QtGui
QGraphicsScene                                   |QObject  |QtGui
QGraphicsScene::ItemIndexMethod                  |enum     |QtGui
QGraphicsScene::SceneLayers                      |enum     |QtGui
QGraphicsSceneContextMenuEvent                   |QEvent   |QtGui
QGraphicsSceneContextMenuEvent::Reason           |enum     |QtGui
QGraphicsSceneDragDropEvent                      |QEvent   |QtGui
QGraphicsSceneEvent                              |QEvent   |QtGui
QGraphicsSceneHelpEvent                          |QEvent   |QtGui
QGraphicsSceneHoverEvent                         |QEvent   |QtGui
QGraphicsSceneMouseEvent                         |QEvent   |QtGui
QGraphicsSceneMoveEvent                          |QEvent   |QtGui
QGraphicsSceneResizeEvent                        |QEvent   |QtGui
QGraphicsSceneWheelEvent                         |QEvent   |QtGui
QGraphicsSimpleTextItem                          |object   |QtGui
QGraphicsSvgItem                                 |QObject  |QtSvg
QGraphicsTextItem                                |QObject  |QtGui
QGraphicsTransform                               |QObject  |QtGui
QGraphicsView                                    |QObject  |QtGui
QGraphicsView::CacheMode                         |enum     |QtGui
QGraphicsView::DragMode                          |enum     |QtGui
QGraphicsView::OptimizationFlag                  |enum     |QtGui
QGraphicsView::OptimizationFlags                 |enum     |QtGui
QGraphicsView::ViewportAnchor                    |enum     |QtGui
QGraphicsView::ViewportUpdateMode                |enum     |QtGui
QGraphicsWebView                                 |QObject  |QtWebKit
QGraphicsWidget                                  |QObject  |QtGui
QGridLayout                                      |QObject  |QtGui
QGroupBox                                        |QObject  |QtGui
QGtkStyle                                        |QObject  |QtGui
QHBoxLayout                                      |QObject  |QtGui
QHeaderView                                      |QObject  |QtGui
QHeaderView::ResizeMode                          |enum     |QtGui
QHelpContentItem                                 |object   |QtHelp
QHelpContentModel                                |QObject  |QtHelp
QHelpContentWidget                               |QObject  |QtHelp
QHelpEngine                                      |QObject  |QtHelp
QHelpEngineCore                                  |QObject  |QtHelp
QHelpEvent                                       |QEvent   |QtGui
QHelpIndexModel                                  |QObject  |QtHelp
QHelpIndexWidget                                 |QObject  |QtHelp
QHelpSearchEngine                                |QObject  |QtHelp
QHelpSearchQuery                                 |object   |QtHelp
QHelpSearchQuery::FieldName                      |enum     |QtHelp
QHelpSearchQueryWidget                           |QObject  |QtHelp
QHelpSearchResultWidget                          |QObject  |QtHelp
QHideEvent                                       |QEvent   |QtGui
QHistoryState                                    |QObject  |QtCore
QHistoryState::HistoryType                       |enum     |QtCore
QHostAddress                                     |object   |QtNetwork
QHostAddress::SpecialAddress                     |enum     |QtNetwork
QHostInfo                                        |object   |QtNetwork
QHostInfo::HostInfoError                         |enum     |QtNetwork
QHoverEvent                                      |QEvent   |QtGui
QHttp                                            |QObject  |QtNetwork
QHttpMultiPart                                   |QObject  |QtNetwork
QHttpMultiPart::ContentType                      |enum     |QtNetwork
QHttpPart                                        |object   |QtNetwork
QIcon                                            |object   |QtGui
QIcon::Mode                                      |enum     |QtGui
QIcon::State                                     |enum     |QtGui
QIconDragEvent                                   |QEvent   |QtGui
QIconEngine                                      |object   |QtGui
QIconEnginePlugin                                |QObject  |QtGui
QIconEnginePluginV2                              |QObject  |QtGui
QIconEngineV2                                    |object   |QtGui
QIdentityProxyModel                              |QObject  |QtGui
QImage                                           |object   |QtGui
QImage::Format                                   |enum     |QtGui
QImage::InvertMode                               |enum     |QtGui
QImageIOHandler                                  |object   |QtGui
QImageIOHandler::ImageOption                     |enum     |QtGui
QImageIOPlugin                                   |QObject  |QtGui
QImageIOPlugin::Capabilities                     |enum     |QtGui
QImageReader                                     |object   |QtGui
QImageReader::ImageReaderError                   |enum     |QtGui
QImageWriter                                     |object   |QtGui
QImageWriterError::ImageWriterError              |enum     |QtGui
QInputContext                                    |QObject  |QtGui
QInputContext::StandardFormat                    |enum     |QtGui
QInputContextFactory                             |object   |QtGui
QInputContextPlugin                              |QObject  |QtGui
QInputDialog                                     |QObject  |QtGui
QInputDialog::InputDialogOption                  |enum     |QtGui
QInputDialog::InputDialogOptions                 |enum     |QtGui
QInputDialog::InputMode                          |enum     |QtGui
QInputEvent                                      |QEvent   |QtGui
QInputMethodEvent                                |QEvent   |QtGui
QIntValidator                                    |QObject  |QtGui
QIODevice                                        |QObject  |QtCore
